epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.364,2.24355,3.45111,2.46842,0.31293,0.37157,0.29017,0.16336,1.58618,3.82354,1.65898,0.000360046,0.000360046,0.000360046
2,110.229,1.72933,1.782,1.89358,0.72538,0.55613,0.65241,0.37475,1.6184,2.4638,1.65785,0.000706277,0.000706277,0.000706277
3,153.526,1.53442,1.41443,1.70726,0.54295,0.64118,0.64636,0.36054,1.5213,2.27985,1.53004,0.00102807,0.00102807,0.00102807
4,188.381,1.44532,1.29193,1.62951,0.53705,0.73562,0.65425,0.38932,1.31592,1.61849,1.47736,0.00100101,0.00100101,0.00100101
5,219.435,1.41689,1.23511,1.5922,0.67818,0.80042,0.80443,0.49454,1.35086,1.26324,1.50741,0.000964348,0.000964348,0.000964348
6,244.387,1.34547,1.17221,1.53937,0.66019,0.7687,0.73982,0.44401,1.26033,1.33524,1.42794,0.000927685,0.000927685,0.000927685
7,271.015,1.34407,1.11164,1.5229,0.64071,0.70705,0.71581,0.43957,1.24775,1.34843,1.42488,0.000891022,0.000891022,0.000891022
8,303.12,1.29371,1.07419,1.46646,0.7826,0.65185,0.82452,0.50207,1.25776,1.11185,1.41481,0.000854359,0.000854359,0.000854359
9,342.958,1.28315,1.08803,1.46839,0.71363,0.75819,0.84101,0.54172,1.21513,1.01823,1.36902,0.000817696,0.000817696,0.000817696
10,383.484,1.26332,1.0258,1.43744,0.68219,0.72392,0.75924,0.46437,1.26214,1.24937,1.39985,0.000781033,0.000781033,0.000781033
11,407.763,1.20297,0.98826,1.42407,0.77008,0.75686,0.82411,0.51661,1.16666,0.96079,1.3352,0.00074437,0.00074437,0.00074437
12,430.611,1.18511,0.94583,1.39617,0.71452,0.77053,0.8297,0.53643,1.12665,0.97688,1.339,0.000707707,0.000707707,0.000707707
13,456.949,1.15036,0.90623,1.37326,0.71578,0.79864,0.81172,0.50054,1.2112,1.01996,1.38574,0.000671044,0.000671044,0.000671044
14,488.574,1.13246,0.89375,1.37471,0.77983,0.78776,0.86789,0.55418,1.17172,0.94842,1.37196,0.000634381,0.000634381,0.000634381
15,519.493,1.12997,0.84906,1.36464,0.73291,0.80861,0.8238,0.52735,1.17099,1.0341,1.34835,0.000597718,0.000597718,0.000597718
16,569.707,1.10803,0.84107,1.34128,0.72266,0.83154,0.82645,0.51238,1.08581,1.0369,1.33086,0.000561055,0.000561055,0.000561055
17,605.328,1.10681,0.8685,1.34565,0.78699,0.79883,0.84976,0.56261,1.10054,1.13773,1.31112,0.000524392,0.000524392,0.000524392
18,642.399,1.10927,0.8428,1.31911,0.82002,0.76665,0.86841,0.56652,1.15697,0.88717,1.38792,0.000487729,0.000487729,0.000487729
19,679.841,1.06769,0.80675,1.29591,0.76545,0.78889,0.84273,0.56703,1.08279,1.08821,1.30435,0.000451066,0.000451066,0.000451066
20,722.836,1.03303,0.74309,1.29952,0.82917,0.80903,0.87238,0.59574,1.09485,0.91214,1.34389,0.000414403,0.000414403,0.000414403
21,787.067,1.00441,0.75953,1.26958,0.87273,0.80646,0.87957,0.5941,1.06493,0.83195,1.33727,0.00037774,0.00037774,0.00037774
22,829.011,0.97979,0.82394,1.2521,0.82414,0.83473,0.86121,0.52651,1.1597,0.94749,1.34932,0.000341077,0.000341077,0.000341077
23,860.513,0.97517,0.75889,1.25837,0.82975,0.80129,0.85212,0.56691,1.08076,0.91279,1.35558,0.000304414,0.000304414,0.000304414
24,884.454,0.93738,0.6672,1.22958,0.86838,0.80206,0.89951,0.60079,1.07862,0.78354,1.33857,0.000267751,0.000267751,0.000267751
25,911.189,0.92148,0.62168,1.22367,0.81134,0.82641,0.85916,0.56551,1.09124,0.83622,1.33909,0.000231088,0.000231088,0.000231088
26,936.584,0.85632,0.58238,1.18274,0.84987,0.81483,0.88143,0.59508,1.08111,0.77267,1.33971,0.000194425,0.000194425,0.000194425
27,960.518,0.85877,0.56531,1.19398,0.88393,0.78576,0.88825,0.5923,1.04874,0.87511,1.33036,0.000157762,0.000157762,0.000157762
28,987.891,0.8301,0.53487,1.15346,0.8042,0.79231,0.86973,0.58519,1.073,0.89272,1.3322,0.000121099,0.000121099,0.000121099
29,1014.68,0.80787,0.54634,1.13984,0.84118,0.79958,0.88429,0.58284,1.09316,0.84251,1.34846,8.4436e-05,8.4436e-05,8.4436e-05
30,1038.06,0.79448,0.49971,1.12778,0.83818,0.81614,0.88106,0.57709,1.0751,0.85998,1.33719,4.7773e-05,4.7773e-05,4.7773e-05
